Export from 影音宝 - 听你想听的，看你想看的
爱尔达体育1,rtmp://59.124.75.138/sat/md011#rtmp://59.124.75.157/sat/md011
龙华卡通,http://220.134.196.147:8933/http/116.50.42.18:8066/hls/210/10013/cstv13.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华偶像,http://220.134.196.147:8946/http/116.50.42.18:8066/hls/210/10012/cstv12.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华日韩,http://220.134.196.147:8935/http/116.50.42.18:8066/hls/210/10011/cstv11.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
龙华戏剧,http://220.134.196.147:8934/http/116.50.42.18:8066/hls/210/10010/cstv10.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
民视,http://220.134.196.147:8914/http/116.50.42.18:8088/hls/73/815/ch49.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.157/sat/tv051#rtmp://59.124.75.138/sat/tv051
民视新闻,http://220.134.196.147:8904/http/116.50.42.18:8081/hls/73/815/ch51.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
民视新闻台,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
年代新闻,http://220.134.196.147:8908/http/116.50.42.18:8081/hls/67/809/ch27.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
年代MuchTV,http://220.134.196.147:8929/http/116.50.42.18:8081/hls/72/814/ch45.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
霹雳台湾,http://220.134.196.147:8927/http/116.50.42.18:8088/hls/75/817/ch59.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0dJE
人间卫视,http://220.134.196.147:8905/http/116.50.42.18:8088/hls/69/811/ch36.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
三立都会,http://220.134.196.147:8932/http/116.50.42.18:8081/hls/65/807/ch19.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
三立台湾,http://220.134.196.147:8931/http/116.50.42.18:8081/hls/65/807/ch20.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
三立新闻,http://220.134.196.147:8905/http/116.50.42.18:8088/hls/65/807/ch18.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
三立iNews,http://seb.sason.top/sc/slinews_fhd.m3u8
台视,http://220.134.196.147:8911/http/116.50.42.18:8088/hls/72/814/ch46.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.138/sat/tv071#rtmp://59.124.75.157/sat/tv071
台视新闻台,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8#http://seb.sason.top/sc/tsxw_fhd.m3u8
纬来电影,http://220.134.196.147:8955/http/116.50.42.18:8081/hls/69/811/ch35.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
纬来日本,http://220.134.196.147:8937/http/116.50.42.18:8081/hls/69/811/ch34.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.157/sat/tv771#rtmp://59.124.75.138/sat/tv771
纬来体育,http://220.134.196.147:8963/http/116.50.42.18:8081/hls/67/809/ch28.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.138/sat/tv721#rtmp://59.124.75.156/sat/tv721#rtmp://59.124.75.157/sat/tv721
纬来戏剧,http://220.134.196.147:8943/http/116.50.42.18:8081/hls/69/811/ch33.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
纬来育乐,http://220.134.196.147:8962/http/116.50.42.18:8081/hls/68/810/ch30.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.157/sat/tv701#rtmp://59.124.75.138/sat/tv701
纬来综合,http://220.134.196.147:8946/http/116.50.42.18:8088/hls/68/810/ch32.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
卫视电影,http://220.134.196.147:8953/http/116.50.42.18:8081/hls/62/804/ch07.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
卫视中文,http://220.134.196.147:8918/http/116.50.42.18:8081/hls/62/804/ch05.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
無線電視J1台,https://bcovlive-a.akamaihd.net/f23dfe49b06b45d8878b55b4b6909595/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8
香港国际财经台,http://uc6.i-cable.com/live_freedirect/opentvhd002_h.live/playlist.m3u8
亚洲旅游,http://220.134.196.147:8923/http/116.50.42.18:8088/hls/76/818/ch61.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
耀才财经台,http://202.69.67.66:443/webcast/bshdlive-pc/playlist.m3u8
壹新闻,http://220.134.196.147:8910/http/116.50.42.18:8088/hls/66/808/ch24.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
原住民电视,http://streamipcf.akamaized.net/live/_definst_/live_720/key_b1500.m3u8
正德佛教,http://220.134.196.147:8946/http/116.50.42.18:8081/hls/64/806/ch16.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
智林体育台,http://58.99.33.16:1935/liveedge17/live_122_3.stream/chunklist.m3u8
中视,http://220.134.196.147:8912/http/116.50.42.18:8088/hls/72/814/ch47.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#rtmp://59.124.75.157/sat/tv091#rtmp://59.124.75.138/sat/tv091
中天新闻,http://220.134.196.147:8903/http/116.50.42.18:8081/hls/78/80/ch63max.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d#http://220.134.196.147:8903/http/116.50.42.18:8088/hls/76/818/ch63.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
中天娱乐,http://220.134.196.147:8937/http/116.50.42.18:8081/hls/67/809/ch26.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
中天综合,http://220.134.196.147:8936/http/116.50.42.18:8081/hls/67/809/ch25.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
Animax,http://220.134.196.147:8944/http/116.50.42.18:8088/hls/70/812/ch39.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
AXN,http://220.134.196.147:8959/http/116.50.42.18:8081/hls/71/813/ch43.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
Baby TV,http://220.134.196.147:8941/http/116.50.42.18:8078/hls/35/80/babytv.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
Bloomberg 4K,https://bloomberg-bloombergtv-1-it.samsung.wurl.com/manifest/playlist.m3u8
CINEMAX,http://220.134.196.147:8962/http/116.50.42.18:8081/hls/71/813/ch42.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
CNBC,http://220.134.196.147:8977/http/116.50.42.18:8078/hls/24/80/cnbc90.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
discovery,http://220.134.196.147:8920/http/116.50.42.18:8088/hls/71/813/ch44.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
ELEVEN 2,http://220.134.196.147:8967/http/116.50.42.18:8078/hls/26/80/esport2.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
ELEVEN体育二台,rtmp://59.124.75.138/sat/md041#rtmp://59.124.75.157/sat/md041#rtmp://59.124.75.138/sat/tv741#rtmp://59.124.75.157/sat/tv741
ELEVEN体育一台,rtmp://59.124.75.157/sat/tv731#rtmp://59.124.75.138/sat/tv731
HBO,http://220.134.196.147:8957/http/116.50.42.18:8081/hls/71/813/ch41.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
J2台,http://50.7.218.42:8278/j2_twn/playlist.m3u8?tid=m22905da1d346&ct=18336&tsum=3b4998c4f5367bb820165f66b0caab0e
momo亲子台,http://220.134.196.147:8917/http/116.50.42.18:8088/hls/70/812/ch40.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
MoMo综合台,rtmp://59.124.75.157/sat/tv761#rtmp://59.124.75.138/sat/tv761
NHK新闻,http://220.134.196.147:8907/http/116.50.42.18:8081/hls/62/804/ch06.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
StarMoves GOLD,http://220.134.196.147:8945/http/116.50.42.18:8081/hls/62/804/ch08.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
TLC旅游生活,http://220.134.196.147:8972/http/116.50.42.18:8088/hls/70/812/ch38.m3u8?token=7375646f1298469fcd2cecf4cc31d29c6f203f0d
TVBS欢乐,rtmp://59.124.75.157/sat/tv421#rtmp://59.124.75.138/sat/tv421
TVBS新闻,rtmp://59.124.75.157/sat/tv551#rtmp://59.124.75.138/sat/tv551
TVBS新闻台,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻台 HD,http://seb.sason.top/sc/tvbsxw_fhd.m3u8

